0.223,6,0.0
0.160,4,0.0
0.180,5,0.0
0.133,3,0.0
0.161,4,0.0
0.171,5,0.0
0.198,5,0.0
0.210,6,0.0
0.185,4,0.0
0.177,5,0.0
0.182,5,0.0
0.205,6,0.0
0.164,4,0.0
0.187,4,0.0
0.259,7,0.0
0.224,5,0.0
0.171,4,0.0
0.228,7,0.0
0.205,6,0.0
0.224,5,0.0
0.198,7,0.0
0.241,7,0.0
0.201,5,0.0
0.189,6,0.0
0.217,5,0.0
0.217,6,0.0
0.196,6,0.0
0.189,7,0.0
0.168,4,0.0
0.205,5,0.0
0.184,5,0.0
0.217,7,0.0
0.188,4,0.0
0.180,4,0.0
0.209,5,0.0
0.178,5,0.0
0.174,5,0.0
0.230,5,0.0
0.212,5,0.0
0.179,5,0.0
0.201,6,0.0
0.232,7,0.0
0.288,7,0.0
0.203,5,0.0
0.252,6,0.0
0.221,6,0.0
0.280,7,0.0
0.201,6,0.0
0.249,6,0.0
0.217,5,0.0
-0.247,6,0.3
-0.264,7,0.3
-0.243,6,0.3
-0.215,6,0.3
-0.276,6,0.3
-0.266,7,0.3
-0.215,5,0.3
-0.271,6,0.3
-0.250,7,0.3
-0.229,6,0.3
-0.219,5,0.3
-0.196,5,0.3
-0.261,6,0.3
-0.273,7,0.3
-0.199,5,0.3
-0.203,5,0.3
-0.199,6,0.3
-0.236,6,0.3
-0.248,7,0.3
-0.184,5,0.3
-0.240,7,0.3
-0.282,8,0.3
-0.234,6,0.3
-0.224,6,0.3
-0.292,7,0.3
-0.275,7,0.3
-0.220,6,0.3
-0.238,6,0.3
-0.201,5,0.3
-0.245,6,0.3
-0.261,6,0.3
-0.240,6,0.3
-0.229,6,0.3
-0.236,7,0.3
-0.271,8,0.3
-0.271,7,0.3
-0.243,7,0.3
-0.224,6,0.3
-0.194,5,0.3
-0.268,6,0.3
-0.234,6,0.3
-0.189,5,0.3
-0.199,5,0.3
-0.257,6,0.3
-0.255,6,0.3
-0.241,6,0.3
-0.219,6,0.3
-0.208,6,0.3
-0.244,7,0.3
-0.219,9,0.3
0.051,10,0.7
0.032,8,0.7
0.016,10,0.7
0.028,10,0.7
0.029,10,0.7
0.024,12,0.7
0.017,10,0.7
0.005,8,0.7
0.030,8,0.7
0.027,10,0.7
0.015,12,0.7
0.032,8,0.7
0.012,8,0.7
0.006,8,0.7
0.023,8,0.7
0.056,12,0.7
0.019,12,0.7
0.009,10,0.7
0.022,8,0.7
0.020,8,0.7
0.097,8,0.7
0.015,12,0.7
0.022,10,0.7
0.053,8,0.7
0.019,9,0.7
0.009,10,0.7
0.011,8,0.7
0.040,8,0.7
0.033,8,0.7
0.041,8,0.7
0.067,11,0.7
0.011,11,0.7
0.028,10,0.7
0.019,10,0.7
0.017,10,0.7
0.166,8,0.7
0.092,12,0.7
0.008,12,0.7
0.000,11,0.7
0.009,12,0.7
0.013,8,0.7
0.016,8,0.7
0.037,10,0.7
0.005,12,0.7
0.016,9,0.7
0.020,8,0.7
0.013,9,0.7
0.010,10,0.7
0.367,24,1.0
0.265,31,1.0
0.171,15,1.0
0.881,21,1.0
0.811,18,1.0
0.211,27,1.0
0.137,23,1.0
1.098,38,1.0
0.852,71,1.0
1.011,38,1.0
0.891,56,1.0
0.707,51,1.0
0.775,34,1.0
0.187,38,1.0
0.959,37,1.0
0.480,44,1.0
0.081,43,1.0
0.332,33,1.0
0.060,52,1.0
1.093,44,1.0
0.669,41,1.0
0.865,56,1.0
1.162,41,1.0
0.963,52,1.0
0.992,42,1.0
1.191,49,1.0
0.881,65,1.0
1.089,57,1.0
0.665,50,1.0
1.042,46,1.0
0.541,46,1.0
1.015,48,1.0
0.710,42,1.0
1.119,43,1.0
0.778,51,1.0
0.789,52,1.0
0.995,36,1.0
1.225,40,1.0
0.770,41,1.0
0.774,40,1.0
1.189,46,1.0
0.837,52,1.0
0.955,41,1.0
0.866,54,1.0
0.844,42,1.0
0.322,32,1.0
0.641,47,1.0
0.950,39,1.0
0.618,45,1.0
0.760,52,1.0
0.801,47,1.0
1.097,51,1.0
0.819,50,1.0
0.979,45,1.0
